Calibration Record
Leeman Geophysical LLC
Sampling Rate: 10000.000000
Seconds to Average: 1.000000
Transducer Name: tt244_lr_hg
Calibration Unit: mm
Input Channel: PXI1Slot3/ai2
Slope: -1.608709
Intercept: 9.881660
Voltage,Unit
9.958353,0.000000
9.843007,0.070000
9.731510,0.140000
9.554940,0.250000
9.435140,0.330000
9.181898,0.490000
8.819742,0.700000
8.502488,0.900000
7.925055,1.250000
7.344618,1.610000
6.757750,1.980000
6.178231,2.330000
5.652444,2.650000
5.112169,2.980000
4.593514,3.290000
4.124271,3.580000
3.712317,3.840000
3.223636,4.130000
2.664141,4.480000
2.278593,4.710000
1.822653,4.990000
1.445249,5.220000
0.992993,5.500000
0.601697,5.740000
0.143161,6.020000
-0.205460,6.230000
-0.602178,6.480000
-0.997288,6.720000
-1.364466,6.950000
-1.833981,7.230000
-2.175238,7.450000
-2.605289,7.710000
-3.079927,8.000000
-3.669631,8.360000
-4.414438,8.740000
-4.790259,9.060000
-5.383608,9.430000
-5.884748,9.740000
-6.386442,10.040000
-6.896996,10.360000
-7.341825,10.640000
-7.763387,10.900000
-8.196791,11.170000
-8.630718,11.430000
-9.058063,11.700000
-9.467250,11.950000
-9.809046,12.160000
-10.050066,12.310000
-10.224389,12.420000
-10.474817,12.580000
-10.830197,12.800000
-10.904540,13.040000
-10.904540,13.190000
-10.904540,13.340000
-10.904540,13.440000
