Calibration Record
Leeman Geophysical LLC
Sampling Rate: 10000.000000
Seconds to Average: 1.000000
Transducer Name: tt244_lr_lg
Calibration Unit: mm
Input Channel: PXI1Slot3/ai2
Slope: -0.788403
Intercept: 10.291438
Voltage,Unit
10.312633,0.030000
10.253572,0.110000
10.206163,0.170000
10.173576,0.210000
10.148029,0.240000
10.116589,0.280000
10.094924,0.300000
10.068989,0.330000
10.046973,0.360000
10.026502,0.390000
10.010864,0.410000
9.985265,0.440000
9.967784,0.460000
9.924051,0.510000
9.888891,0.560000
9.839873,0.620000
9.756256,0.730000
9.637363,0.870000
9.544490,0.980000
9.439226,1.120000
9.366552,1.210000
9.291255,1.300000
9.214817,1.390000
9.092695,1.550000
8.982100,1.690000
8.872909,1.820000
8.729870,2.000000
8.501998,2.290000
8.255398,2.600000
8.033300,2.870000
7.833725,3.130000
7.628067,3.380000
7.361382,3.720000
7.143097,3.990000
6.962966,4.220000
6.675511,4.580000
6.473126,4.840000
6.397300,4.940000
6.274495,5.090000
6.162821,5.240000
6.036222,5.400000
5.862160,5.620000
5.730054,5.800000
5.581477,5.980000
5.460535,6.140000
5.319876,6.320000
5.215330,6.450000
5.128026,6.570000
4.966633,6.770000
4.789676,6.990000
4.618333,7.210000
4.497721,7.370000
4.357425,7.540000
4.270541,7.650000
4.160383,7.790000
4.025703,7.960000
3.912974,8.100000
3.793536,8.250000
3.692485,8.380000
3.581427,8.510000
3.482628,8.640000
3.367842,8.780000
3.255735,8.920000
3.141977,9.060000
3.005633,9.230000
2.917470,9.340000
2.769986,9.530000
2.650208,9.670000
2.554557,9.800000
2.417127,9.970000
2.259343,10.160000
2.119831,10.340000
1.999374,10.490000
1.886785,10.630000
1.775131,10.770000
1.643640,10.940000
1.495543,11.120000
1.306999,11.360000
1.111594,11.600000
0.997014,11.740000
0.881011,11.890000
0.740555,12.070000
0.613475,12.230000
0.513498,12.360000
0.383657,12.520000
0.222420,12.720000
0.110031,12.860000
-0.037482,13.050000
-0.163622,13.210000
-0.292758,13.370000
-0.394204,13.500000
-0.526025,13.660000
-0.619736,13.780000
-0.780569,13.990000
-0.853841,14.080000
-0.994526,14.260000
-1.088370,14.380000
-1.225973,14.550000
-1.314797,14.660000
-1.402037,14.770000
-1.515961,14.920000
-1.786417,15.260000
-2.001012,15.530000
-2.326647,15.940000
-2.516303,16.180000
-2.662227,16.360000
-2.849806,16.600000
-3.021854,16.820000
-3.157218,16.990000
-3.347247,17.230000
-3.549443,17.490000
-3.801032,17.800000
-4.000809,18.060000
-4.190624,18.300000
-4.354802,18.510000
-4.491015,18.680000
-4.697191,18.940000
-4.858337,19.150000
-4.994056,19.320000
-5.334818,19.770000
-5.579007,20.090000
-5.784572,20.350000
-5.938434,20.560000
-6.123793,20.790000
-6.284897,21.000000
-6.431405,21.190000
-6.584036,21.380000
-6.828723,21.700000
-7.010893,21.930000
-7.152196,22.110000
-7.298186,22.300000
-7.452119,22.490000
-7.603046,22.680000
-7.784194,22.910000
-7.956571,23.130000
-8.021227,23.210000
-8.115204,23.330000
-8.270144,23.530000
-8.465063,23.780000
-8.636189,23.990000
-8.872445,24.290000
-9.113814,24.600000
-9.272028,24.800000
-9.368539,24.920000
-9.561618,25.160000
-9.651892,25.280000
-9.772996,25.430000
-9.904659,25.600000
-10.027525,25.750000
-10.133588,25.880000
-10.220580,26.000000
-10.338212,26.150000
-10.442599,26.280000
-10.531491,26.390000
-10.629372,26.510000
-10.745317,26.660000
-10.826280,26.770000
-10.904540,26.920000
-10.904540,27.100000
-10.904540,27.290000
-10.904540,27.380000
-10.904540,27.790000
