Calibration Record
Leeman Geophysical LLC
Sampling Rate: 10000.000000
Seconds to Average: 1.000000
Transducer Name: tt244_sr_hg
Calibration Unit: mm
Input Channel: PXI1Slot3/ai2
Slope: -1.527275
Intercept: 10.456033
Voltage,Unit
10.461069,0.000000
10.320463,0.090000
10.228100,0.150000
10.074345,0.250000
9.965396,0.320000
9.899423,0.360000
9.815216,0.420000
9.733359,0.470000
9.640777,0.530000
9.502987,0.620000
9.421920,0.670000
9.339614,0.730000
9.215820,0.810000
9.039832,0.930000
8.897008,1.020000
8.753200,1.110000
8.645783,1.180000
8.502006,1.280000
8.385199,1.350000
8.279734,1.420000
8.123703,1.520000
7.964365,1.630000
7.826167,1.720000
7.706295,1.780000
7.582058,1.880000
7.433556,1.980000
7.340112,2.040000
7.169433,2.150000
6.967793,2.250000
6.807052,2.390000
6.673522,2.480000
6.557986,2.550000
6.398755,2.660000
6.254544,2.750000
6.063886,2.880000
5.924331,2.970000
5.703883,3.120000
5.525318,3.240000
5.312500,3.380000
5.061545,3.540000
4.899587,3.650000
4.594053,3.850000
4.430809,3.960000
4.226212,4.090000
3.997560,4.240000
3.751346,4.400000
3.509304,4.560000
3.282272,4.710000
3.072470,4.850000
2.886728,4.960000
2.761989,5.050000
2.615022,5.140000
2.436145,5.260000
2.217132,5.400000
1.940298,5.580000
1.718967,5.720000
1.478767,5.880000
1.222997,6.050000
0.943131,6.230000
0.669873,6.400000
0.355522,6.610000
0.047092,6.810000
-0.287884,7.020000
-0.644238,7.260000
-0.955181,7.460000
-1.276613,7.670000
-1.570682,7.860000
-1.765982,7.990000
-2.033476,8.160000
-2.275669,8.320000
-2.509779,8.470000
-2.867437,8.710000
-3.105451,8.860000
-3.425897,9.070000
-3.468335,9.210000
