Calibration Record
Leeman Geophysical LLC
Sampling Rate: 10000.000000
Seconds to Average: 1.000000
Transducer Name: tt244_sr_lg
Calibration Unit: mm
Input Channel: PXI1Slot3/ai2
Slope: -0.740162
Intercept: 10.210864
Voltage,Unit
10.198233,0.000000
10.090301,0.150000
10.046200,0.210000
10.009767,0.260000
9.963926,0.320000
9.917514,0.380000
9.825031,0.510000
9.788176,0.560000
9.738658,0.620000
9.676159,0.710000
9.627021,0.780000
9.545711,0.890000
9.191224,1.370000
8.925450,1.730000
8.686240,2.060000
8.490430,2.320000
8.269248,2.620000
8.048842,2.930000
7.695976,3.410000
7.387219,3.830000
7.076744,4.250000
6.829579,4.580000
6.555056,4.960000
6.165449,5.480000
5.800297,5.980000
5.412119,6.510000
5.085030,6.950000
4.769338,7.380000
4.470669,7.780000
4.191293,8.150000
3.915104,8.530000
3.660622,8.870000
3.384169,9.240000
3.115304,9.510000
2.900442,9.880000
2.662783,10.210000
2.350195,10.640000
2.090267,10.990000
1.781880,11.410000
1.488873,11.800000
1.305308,12.040000
1.057700,12.360000
0.784656,12.740000
0.589016,13.000000
0.345618,13.330000
0.095554,13.660000
-0.131091,13.960000
-0.358588,14.270000
-0.549580,14.520000
-0.812596,14.880000
-0.963899,15.080000
-1.158305,15.340000
-1.335032,15.580000
-1.540440,15.860000
-1.710004,16.090000
