Calibration Record
Leeman Geophysical LLC
Sampling Rate: 10000.000000
Seconds to Average: 1.000000
Transducer Name: tt245_hg
Calibration Unit: mm
Input Channel: PXI1Slot3/ai0
Slope: -1.699110
Intercept: 10.755004
Voltage,Unit
10.849906,0.000000
10.307815,0.310000
10.197089,0.370000
9.929805,0.530000
9.866866,0.560000
9.808463,0.600000
9.772932,0.610000
9.716957,0.650000
9.644040,0.690000
9.594538,0.720000
9.530508,0.750000
9.464976,0.800000
9.436676,0.810000
9.395626,0.840000
9.330001,0.880000
9.280971,0.910000
9.243953,0.930000
9.176584,0.970000
9.118034,1.000000
9.059629,1.040000
9.019580,1.060000
8.918328,1.110000
8.865677,1.140000
8.808507,1.180000
8.751687,1.210000
8.685670,1.240000
8.615439,1.280000
8.560679,1.320000
8.518664,1.350000
8.439017,1.390000
8.401687,1.410000
8.361784,1.440000
8.199869,1.530000
8.118837,1.570000
8.037180,1.620000
7.980513,1.650000
7.912336,1.690000
7.874329,1.710000
7.817514,1.740000
7.728043,1.790000
7.691902,1.810000
7.644654,1.840000
7.603793,1.870000
7.535248,1.910000
7.457459,1.950000
7.353018,2.010000
7.208770,2.090000
7.123722,2.140000
7.070682,2.170000
7.003536,2.210000
6.952613,2.240000
6.858359,2.290000
6.766714,2.340000
6.666107,2.400000
6.577520,2.450000
6.473979,2.520000
6.452406,2.530000
6.350481,2.580000
6.272036,2.630000
6.227899,2.650000
6.137858,2.700000
6.007368,2.770000
5.887413,2.840000
5.762368,2.920000
5.670163,2.970000
5.590900,3.020000
5.520513,3.060000
5.435454,3.100000
5.327386,3.160000
5.250035,3.210000
5.157156,3.260000
5.073339,3.300000
4.935346,3.390000
4.853992,3.430000
4.787871,3.470000
4.693633,3.530000
4.571239,3.600000
4.466296,3.650000
4.431048,3.670000
4.253290,3.780000
4.164508,3.820000
4.096387,3.860000
4.023527,3.910000
3.919038,3.970000
3.796499,4.040000
3.644466,4.120000
3.486487,4.210000
3.280842,4.320000
3.176072,4.390000
3.064520,4.450000
2.876737,4.560000
2.747432,4.640000
2.567491,4.730000
2.356075,4.850000
2.099568,5.010000
1.977515,5.080000
1.749569,5.210000
1.551651,5.320000
1.235500,5.510000
0.920909,5.690000
0.760440,5.790000
0.483643,5.950000
0.277448,6.080000
0.091660,6.190000
-0.172316,6.350000
-0.413579,6.500000
-0.719216,6.700000
-0.889992,6.800000
-1.162938,6.980000
-1.437097,7.170000
-1.645558,7.300000
-1.854155,7.440000
-1.888316,7.470000
-1.919428,7.520000
-1.960248,7.550000
-2.037679,7.600000
-2.184461,7.700000
-2.301247,7.780000
-2.470675,7.930000
-2.505482,7.990000
-2.541332,8.050000
-2.585298,8.120000
-2.613128,8.160000
