Calibration Record
Leeman Geophysical LLC
Sampling Rate: 10000.000000
Seconds to Average: 1.000000
Transducer Name: tt245_lg_v2
Calibration Unit: mm
Input Channel: PXI1Slot3/ai0
Slope: -0.346202
Intercept: 11.139304
Voltage,Unit
10.932436,0.000000
10.932436,0.050000
10.932436,0.110000
10.932436,0.390000
10.932436,0.660000
10.926162,0.750000
10.848173,0.980000
10.786874,1.150000
10.758003,1.230000
10.717257,1.350000
10.664319,1.510000
10.625099,1.610000
10.592820,1.700000
10.553445,1.820000
10.513657,1.940000
10.492011,2.000000
10.467466,2.070000
10.440377,2.150000
10.410556,2.230000
10.379900,2.320000
10.346195,2.420000
10.315000,2.510000
10.260036,2.670000
10.176601,2.910000
10.115025,3.080000
10.059312,3.240000
10.002065,3.410000
9.953489,3.550000
9.868220,3.780000
9.791954,4.010000
9.739717,4.150000
9.672967,4.340000
9.619243,4.500000
9.555843,4.680000
9.480052,4.890000
9.408335,5.100000
9.339758,5.290000
9.278876,5.460000
9.228869,5.610000
9.143913,5.840000
9.069927,6.060000
9.017060,6.200000
8.953081,6.380000
8.857735,6.650000
8.777803,6.880000
8.700663,7.100000
8.629211,7.300000
8.545260,7.540000
8.492498,7.690000
8.415041,7.900000
8.328876,8.150000
8.252884,8.360000
8.197433,8.530000
8.131015,8.710000
8.075380,8.870000
8.013178,9.040000
7.954008,9.210000
7.887187,9.400000
7.808166,9.630000
7.704434,9.920000
7.579640,10.280000
7.461771,10.620000
7.358542,10.910000
7.265818,11.180000
7.141394,11.530000
6.969435,12.020000
6.871521,12.300000
6.760700,12.620000
6.600170,13.080000
6.468693,13.450000
6.313973,13.890000
6.150193,14.360000
6.022640,14.730000
5.890430,15.100000
5.767545,15.450000
5.621128,15.870000
5.503600,16.210000
5.371352,16.580000
5.253468,16.910000
5.092463,17.370000
4.961084,17.750000
4.821499,18.140000
4.661492,18.590000
4.520016,19.000000
4.433402,19.250000
4.289625,19.650000
4.144774,20.070000
3.980791,20.540000
3.794135,21.070000
3.635813,21.530000
3.494792,21.940000
3.289431,22.520000
3.069087,23.160000
2.868631,23.730000
2.698225,24.220000
2.472549,24.870000
2.267432,25.450000
2.080689,25.990000
1.878785,26.560000
1.669777,27.160000
1.498795,27.650000
1.294870,28.230000
1.112670,28.750000
0.926124,29.290000
0.810531,29.630000
0.660822,30.060000
0.487173,30.560000
0.271819,31.180000
0.040324,31.860000
-0.226278,32.640000
-0.460303,33.330000
-0.749868,34.180000
-1.033218,35.010000
-1.310767,35.820000
-1.482070,36.330000
-1.627039,36.750000
-1.818439,37.310000
-1.956666,37.720000
-2.070445,38.050000
-2.275726,38.650000
-2.412024,39.050000
-2.568449,39.510000
-2.847703,40.330000
-3.046993,41.060000
-3.068380,41.570000
-3.071479,41.640000
-3.082145,41.900000
-3.093098,42.170000
-3.099579,42.340000
