Calibration Record
Leeman Geophysical LLC
Sampling Rate: 10000.000000
Seconds to Average: 1.000000
Transducer Name: tt245_lg
Calibration Unit: mm
Input Channel: PXI1Slot3/ai0
Slope: -0.357586
Intercept: 10.638564
Voltage,Unit
10.642005,0.000000
10.574774,0.190000
10.546054,0.270000
10.520989,0.340000
10.502498,0.400000
10.479317,0.460000
10.416746,0.630000
10.388900,0.720000
10.355321,0.810000
10.324905,0.900000
10.292012,0.990000
10.260920,1.080000
10.221576,1.190000
10.190815,1.270000
10.132202,1.440000
10.070020,1.610000
10.037907,1.700000
9.997428,1.820000
9.940904,1.970000
9.905823,2.070000
9.872688,2.160000
9.832562,2.280000
9.791365,2.390000
9.754022,2.490000
9.722758,2.580000
9.684529,2.680000
9.661639,2.750000
9.620367,2.870000
9.574254,2.990000
9.538731,3.090000
9.499304,3.200000
9.455807,3.320000
9.396563,3.490000
9.341091,3.640000
9.262400,3.860000
9.206717,4.010000
9.170277,4.110000
9.127155,4.230000
9.075602,4.380000
9.034753,4.490000
8.992537,4.600000
8.953393,4.710000
8.897889,4.870000
8.867917,4.950000
8.819701,5.080000
8.779919,5.190000
8.719067,5.360000
8.680276,5.470000
8.626251,5.610000
8.573867,5.760000
8.543925,5.840000
8.515293,5.920000
8.480153,6.020000
8.439775,6.130000
8.386075,6.280000
8.339680,6.410000
8.287502,6.550000
8.231549,6.710000
8.172975,6.870000
8.136119,6.970000
8.080470,7.120000
8.032227,7.260000
7.987930,7.380000
7.911902,7.600000
7.854172,7.760000
7.772870,7.980000
7.693687,8.200000
7.502219,8.730000
7.358718,9.140000
7.171751,9.660000
7.006350,10.130000
6.839514,10.600000
6.701345,10.990000
6.565609,11.370000
6.396518,11.840000
6.255288,12.240000
6.140712,12.560000
6.019587,12.900000
5.848322,13.380000
5.721231,13.730000
5.613815,14.030000
5.510082,14.320000
5.381953,14.680000
5.199938,15.190000
5.043251,15.620000
4.876670,16.090000
4.713668,16.540000
4.463092,17.250000
4.306846,17.680000
4.144056,18.140000
4.041757,18.430000
3.921825,18.770000
3.760797,19.230000
3.615242,19.640000
3.483249,20.010000
3.326937,20.450000
3.180375,20.870000
2.970672,21.460000
2.804899,21.930000
2.593613,22.530000
2.449663,22.930000
2.418544,23.020000
2.396725,23.080000
2.356953,23.190000
2.281252,23.410000
2.254145,23.480000
2.227282,23.560000
2.205177,23.620000
2.173747,23.710000
2.144839,23.790000
